Chidamber-Kemerer metrics,jeu., 20 oct. 2022 17:15:06 HAE
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.block.LineBorder,6,1,1,0,36,19
org.jfree.chart.block.LineBorderTest,3,1,2,0,12,3
org.jfree.chart.block.RectangleConstraint,28,1,1,0,24,33
org.jfree.chart.block.RectangleConstraintTest,4,1,1,0,6,1
org.jfree.chart.block.Size2D,33,1,2,0,12,14
org.jfree.chart.date.MonthConstants,n/a,n/a,n/a,n/a,0,n/a
org.jfree.chart.date.SerialDate,8,1,16,1,65,78
org.jfree.chart.date.SpreadsheetDate,2,2,3,0,30,34
org.jfree.chart.encoders.EncoderUtil,3,1,8,0,14,8
org.jfree.chart.encoders.ImageEncoder,n/a,n/a,n/a,n/a,6,n/a
org.jfree.chart.encoders.ImageEncoderFactory,2,1,1,0,17,8
org.jfree.chart.encoders.ImageFormat,n/a,n/a,n/a,n/a,0,n/a
org.jfree.chart.encoders.SunJPEGEncoderAdapter,2,1,3,0,23,8
org.jfree.chart.encoders.SunPNGEncoderAdapter,3,1,5,0,10,6
org.jfree.chart.entity.AxisEntity,5,2,1,0,28,16
org.jfree.chart.entity.CategoryItemEntity,6,2,3,0,14,14
org.jfree.chart.entity.CategoryItemEntityTest,5,1,3,0,17,3
org.jfree.chart.entity.CategoryLabelEntity,5,3,1,0,16,8
org.jfree.chart.entity.CategoryLabelEntityTest,4,1,3,0,15,3
org.jfree.chart.entity.ChartEntity,36,1,1,12,45,37
org.jfree.chart.entity.EntityCollection,n/a,n/a,n/a,n/a,8,n/a
org.jfree.chart.entity.FlowEntity,5,2,1,0,10,7
org.jfree.chart.entity.FlowEntityTest,4,1,3,0,13,3
org.jfree.chart.entity.JFreeChartEntity,5,2,1,0,28,16
org.jfree.chart.entity.LegendItemEntity,4,2,2,0,12,13
org.jfree.chart.entity.LegendItemEntityTest,5,1,3,0,18,3
org.jfree.chart.entity.NodeEntity,4,2,1,0,7,4
org.jfree.chart.entity.PieSectionEntity,7,2,4,0,18,18
org.jfree.chart.entity.PieSectionEntityTest,5,1,3,0,20,3
org.jfree.chart.entity.PlotEntity,5,2,1,0,28,16
org.jfree.chart.entity.StandardEntityCollection,13,1,1,0,29,17
org.jfree.chart.entity.StandardEntityCollectionTest,5,1,3,0,16,3
org.jfree.chart.entity.TickLabelEntity,3,2,0,1,2,1
org.jfree.chart.entity.TickLabelEntityTest,4,1,3,0,15,3
org.jfree.chart.entity.TitleEntity,7,2,1,0,28,16
org.jfree.chart.entity.XYAnnotationEntity,2,2,1,0,6,8
org.jfree.chart.entity.XYItemEntity,9,2,3,0,11,13
org.jfree.chart.entity.XYItemEntityTest,5,1,3,0,18,3
org.jfree.chart.event.AnnotationChangeEvent,10,3,1,0,4,2
